week_name,week_list,start_datetime,end_datetime,worker_nb_min,worker_nb_max,seats_availability
A,MO,2026-04-06 13:15:00,2026-04-06 16:00:00,4,4,limited
A,MO,2026-04-06 15:45:00,2026-04-06 18:30:00,4,4,limited
A,MO,2026-04-06 18:15:00,2026-04-06 21:00:00,4,4,limited
A,TU,2026-04-07 13:15:00,2026-04-07 16:00:00,4,4,limited
A,TU,2026-04-07 15:45:00,2026-04-07 18:30:00,4,4,limited
A,TU,2026-04-07 18:15:00,2026-04-07 21:00:00,4,4,limited
A,WE,2026-04-08 08:15:00,2026-04-08 11:00:00,5,5,limited
A,WE,2026-04-08 10:45:00,2026-04-08 13:30:00,4,4,limited
A,WE,2026-04-08 15:45:00,2026-04-08 18:30:00,4,4,limited
A,WE,2026-04-08 18:15:00,2026-04-08 21:00:00,4,4,limited
A,TH,2026-04-09 08:15:00,2026-04-09 11:00:00,5,5,limited
A,TH,2026-04-09 10:45:00,2026-04-09 13:30:00,4,4,limited
A,TH,2026-04-09 15:45:00,2026-04-09 18:30:00,4,4,limited
A,TH,2026-04-09 18:15:00,2026-04-09 21:00:00,4,4,limited
A,FR,2026-04-10 08:15:00,2026-04-10 11:00:00,5,5,limited
A,FR,2026-04-10 10:45:00,2026-04-10 13:30:00,4,4,limited
A,FR,2026-04-10 15:45:00,2026-04-10 18:30:00,4,4,limited
A,FR,2026-04-10 18:15:00,2026-04-10 21:00:00,4,4,limited
A,SA,2026-04-11 08:15:00,2026-04-11 11:00:00,5,5,limited
A,SA,2026-04-11 10:45:00,2026-04-11 13:30:00,5,5,limited
A,SA,2026-04-11 13:15:00,2026-04-11 16:00:00,5,5,limited
A,SA,2026-04-11 15:45:00,2026-04-11 18:30:00,5,5,limited
A,SA,2026-04-11 18:15:00,2026-04-11 20:15:00,5,5,limited
B,MO,2026-04-13 13:15:00,2026-04-13 16:00:00,4,4,limited
B,MO,2026-04-13 15:45:00,2026-04-13 18:30:00,4,4,limited
B,MO,2026-04-13 18:15:00,2026-04-13 21:00:00,4,4,limited
B,TU,2026-04-14 13:15:00,2026-04-14 16:00:00,4,4,limited
B,TU,2026-04-14 15:45:00,2026-04-14 18:30:00,4,4,limited
B,TU,2026-04-14 18:15:00,2026-04-14 21:00:00,4,4,limited
B,WE,2026-04-15 08:15:00,2026-04-15 11:00:00,5,5,limited
B,WE,2026-04-15 10:45:00,2026-04-15 13:30:00,4,4,limited
B,WE,2026-04-15 15:45:00,2026-04-15 18:30:00,4,4,limited
B,WE,2026-04-15 18:15:00,2026-04-15 21:00:00,4,4,limited
